Incidence per 1000 by age and sex			
	Vietnam		
 	Total	Male	Female
 20-24 	0.657830	0.943178	0.367458
 25-29 	0.639619	0.969280	0.311757
 30-34 	0.633737	1.036304	0.236811
 35-39 	0.579703	0.939270	0.223332
 40-44 	0.465169	0.754661	0.181352
 45-49 	0.298449	0.485201	0.119963
 50-54 	0.126226	0.210504	0.048961
 55-59 	0.048537	0.099319	0.007369
 60-64 	0.004377	0.009850	0.000112
 65-69 	0.001242	0.002764	0.000121
 70-74 	0.000071	0.000170	0.000005
 75-79 	0.001138	0.002691	0.000231
 80+ 	0.000000	0.000000	0.000000
Total	0.350818	0.530160	0.177062
2005			
 0-4	0.177234	0.178516	0.175858
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.578173	0.761391	0.388129
 20-24 	0.600348	0.870565	0.324832
 25-29 	0.584510	0.894586	0.275705
 30-34 	0.580332	0.956527	0.209313
 35-39 	0.530675	0.866726	0.197433
 40-44 	0.426287	0.696337	0.160292
 45-49 	0.272831	0.447181	0.105869
 50-54 	0.115103	0.193162	0.043057
 55-59 	0.045377	0.092655	0.006684
 60-64 	0.004051	0.009166	0.000099
 65-69 	0.001136	0.002541	0.000107
 70-74 	0.000063	0.000151	0.000004
 75-79 	0.001055	0.002514	0.000207
 80+ 	0.000000	0.000000	0.000000
Total	0.323919	0.494113	0.158924
2006			
 0-4	0.171989	0.173335	0.170535
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.523662	0.691994	0.348561
 20-24 	0.543569	0.790407	0.291375
 25-29 	0.529503	0.812159	0.247427
 30-34 	0.525794	0.868443	0.187750
 35-39 	0.480807	0.786870	0.177128
 40-44 	0.386565	0.632039	0.143787
 45-49 	0.246995	0.405430	0.094821
